12-0;http://localhost:3000/explore?countryCodes=ca&page=12;wineries-ca-burrowing-owl-wines-athene-2012;Burrowing Owl Athene 2012;Okanagan Valley;Canada;http://images.vivino.com/thumbs/ZkoqEVJnSkKAVM2lB9Q72A_375x500.jpg
12-1;http://localhost:3000/explore?countryCodes=ca&page=12;wineries-laughing-stock-vineyards-wines-portfolio-2013;Laughing Stock Vineyards Portfolio 2013;British Columbia;Canada;http://images.vivino.com/thumbs/CHR5wZhKTvyrCvzbicEplg_375x500.jpg
12-2;http://localhost:3000/explore?countryCodes=ca&page=12;wineries-osoyoos-larose-wines-le-grand-vin-okanagan-valley-merlot-cabernet-sauvignon-franc-malbec-petit-verdot-2005;Osoyoos Larose Le Grand Vin 2005;British Columbia;Canada;http://images.vivino.com/thumbs/RMgOIBJRRs6XePsiWbo7ww_375x500.jpg
12-3;http://localhost:3000/explore?countryCodes=ca&page=12;wineries-c-c-jentsch-wines-okanagan-valley-syrah-2013;C.C. Jentsch Okanagan Valley Syrah 2013;Okanagan Valley;Canada;http://images.vivino.com/thumbs/hMfbKH7aT-mYxY-3PVfb2g_375x500.jpg
12-4;http://localhost:3000/explore?countryCodes=ca&page=12;wineries-two-sisters-wines-merlot-8888;Two Sisters Merlot;Niagara Peninsula;Canada;http://images.vivino.com/thumbs/dKZRb-gxTu-doRUVdk-8Cg_375x500.jpg
12-5;http://localhost:3000/explore?countryCodes=ca&page=12;wineries-cave-springs-cellars-wines-riesling-2008;Cave Spring Riesling 2008;Niagara Peninsula;Canada;http://images.vivino.com/thumbs/00to3j4bjf7er_375x500.jpg
12-6;http://localhost:3000/explore?countryCodes=ca&page=12;wineries-blue-mountain-vineyard-and-cellars-ltd-wines-pinot-noir-2011;Blue Mountain Vineyard Pinot Noir 2011;British Columbia;Canada;http://images.vivino.com/thumbs/00w5ee2mgr0zt_375x500.jpg
12-7;http://localhost:3000/explore?countryCodes=ca&page=12;wineries-gray-monk-estate-winery-wines-gewurztraminer-2014;Gray Monk Gewürztraminer 2014;British Columbia;Canada;http://images.vivino.com/thumbs/02l2yy3mccpg4_375x500.jpg
12-8;http://localhost:3000/explore?countryCodes=ca&page=12;wineries-pellier-wines-private-reserve-icewine-vidal-8888;Pellier Private Reserve Icewine Vidal;Niagara Peninsula;Canada;http://images.vivino.com/thumbs/00redqwz8mm5m_375x500.jpg
12-9;http://localhost:3000/explore?countryCodes=ca&page=12;wineries-inniskillin-wines-inc-wines-icewine-gold-oak-aged-vidal-2011;Inniskillin Gold Oak Aged Vidal Icewine 2011;Niagara Peninsula;Canada;http://images.vivino.com/thumbs/00zl9iq7pzzm1_375x500.jpg
12-10;http://localhost:3000/explore?countryCodes=ca&page=12;wineries-ca-ferreira-wines-quinta-obra-prima-red-2008;Ferreira Obra Prima Red 2008;Okanagan Valley;Canada;http://images.vivino.com/thumbs/00qssxuk04ipd_375x500.jpg
12-11;http://localhost:3000/explore?countryCodes=ca&page=12;wineries-ca-burrowing-owl-wines-meritage-2010;Burrowing Owl Meritage 2010;Okanagan Valley;Canada;http://images.vivino.com/thumbs/0199z0w1bvm2j_375x500.jpg
12-12;http://localhost:3000/explore?countryCodes=ca&page=12;wineries-ancient-hill-wines-baco-noir-2012;Ancient Hill Baco Noir 2012;British Columbia;Canada;http://images.vivino.com/thumbs/8CCmuw6MTf6lIkeqBljDPA_375x500.jpg
12-13;http://localhost:3000/explore?countryCodes=ca&page=12;wineries-ca-burrowing-owl-wines-pinot-noir-2011;Burrowing Owl Pinot Noir 2011;Okanagan Valley;Canada;http://images.vivino.com/thumbs/5Tx45Q8zQbKOCfGkRYc8jw_375x500.jpg
12-14;http://localhost:3000/explore?countryCodes=ca&page=12;wineries-summerhill-pyramid-winery-wines-baco-noir-2012;Summerhill Pyramid Baco Noir 2012;Okanagan Valley;Canada;http://images.vivino.com/thumbs/5pgc-PbpQLq9cozdBTF_6Q_375x500.jpg
12-15;http://localhost:3000/explore?countryCodes=ca&page=12;wineries-church-and-state-wines-wines-meritage-coyote-bowl-2009;Church & State Meritage Coyote Bowl 2009;Okanagan Valley;Canada;undefined
