10-0;http://localhost:3000/explore?countryCodes=za&page=10;wineries-hamilton-russell-vineyards-wines-chardonnay-2015;Hamilton Russell Chardonnay 2015;Hemel-en-Aarde Valley;South Africa;http://images.vivino.com/thumbs/xeqFAhkFQIKh2tM59jGafQ_375x500.jpg
10-1;http://localhost:3000/explore?countryCodes=za&page=10;wineries-delaire-graff-wines-graff-botmaskop-stellenbosch-2014;Delaire Graff Botmaskop 2014;Stellenbosch;South Africa;http://images.vivino.com/thumbs/YSYWCr5hTKKTKh70yf-GlA_375x500.jpg
10-2;http://localhost:3000/explore?countryCodes=za&page=10;wineries-hamilton-russell-vineyards-wines-pinot-noir-2015;Hamilton Russell Pinot Noir 2015;Hemel-en-Aarde Valley;South Africa;http://images.vivino.com/thumbs/-UatjtpWRXKPR8kXW1-V8g_375x500.jpg
10-3;http://localhost:3000/explore?countryCodes=za&page=10;wineries-thelema-mountain-wines-cabernet-sauvignon-2011;Thelema Cabernet Sauvignon 2011;Stellenbosch;South Africa;http://images.vivino.com/thumbs/igHgfD2bSuqL2ZNCcQa7bg_375x500.jpg
10-4;http://localhost:3000/explore?countryCodes=za&page=10;wineries-rust-en-vrede-wine-estate-wines-stellenbosch-syrah-2013;Rust En Vrede Estate Vineyard Syrah (Shiraz) 2013;Stellenbosch;South Africa;http://images.vivino.com/thumbs/zPGaeg_ITCuw0-0nFIrhVw_375x500.jpg
10-5;http://localhost:3000/explore?countryCodes=za&page=10;wineries-spier-cellars-wines-21-gables-pinotage-2013;Spier 21 Gables Pinotage 2013;Western Cape;South Africa;http://images.vivino.com/thumbs/JaN8gncfQkmMYWZukhaOYw_375x500.jpg
10-6;http://localhost:3000/explore?countryCodes=za&page=10;wineries-rustenberg-wines-wines-peter-barlow-2008;Rustenberg Peter Barlow 2008;Stellenbosch;South Africa;http://images.vivino.com/thumbs/hWmQJz0jSkqjdaqakwu3iw_375x500.jpg
10-7;http://localhost:3000/explore?countryCodes=za&page=10;wineries-kleinood-wines-tamboerskloof-2009;Kleinood Tamboerskloof Syrah 2009;Stellenbosch;South Africa;http://images.vivino.com/thumbs/RretDArhSbmSIdOCIVaSCQ_375x500.jpg
10-8;http://localhost:3000/explore?countryCodes=za&page=10;wineries-spice-route-wines-chakalaka-2012;Spice Route Chakalaka 2012;Swartland;South Africa;http://images.vivino.com/thumbs/PZySWziYRoqb3BVRXYFlAQ_375x500.jpg
10-9;http://localhost:3000/explore?countryCodes=za&page=10;wineries-vergelegen-wine-estate-wines-reserve-cabernet-sauvignon-2009;Vergelegen Cabernet Sauvignon Reserve 2009;Stellenbosch;South Africa;http://images.vivino.com/thumbs/AbOSSMBUR4KZcDwjEcaF4g_375x500.jpg
10-10;http://localhost:3000/explore?countryCodes=za&page=10;wineries-groot-constantia-wines-pinotage-2013;Groot Constantia Pinotage 2013;Constantia;South Africa;http://images.vivino.com/thumbs/020Sy-RSTNK8P6Cws8xUCA_375x500.jpg
10-11;http://localhost:3000/explore?countryCodes=za&page=10;wineries-warwick-wine-estate-wines-stellenbosch-trilogy-2011;Warwick Trilogy 2011;Stellenbosch;South Africa;http://images.vivino.com/thumbs/owOtqyGLR_-PldX4O4Sibw_375x500.jpg
10-12;http://localhost:3000/explore?countryCodes=za&page=10;wineries-waterford-estate-wines-cabernet-sauvignon-2013;Waterford Estate Cabernet Sauvignon 2013;Stellenbosch;South Africa;http://images.vivino.com/thumbs/yDPvQMYcTxiT2v5BqLf20g_375x500.jpg
10-13;http://localhost:3000/explore?countryCodes=za&page=10;wineries-za-cavalli-wines-cheval-d-or-warlord-2009;Cavalli Warlord Red Blend 2009;Stellenbosch;South Africa;http://images.vivino.com/thumbs/J8pUURjjQCma8nb4oBpHhQ_375x500.jpg
10-14;http://localhost:3000/explore?countryCodes=za&page=10;wineries-meerlust-estate-wines-cabernet-sauvignon-2012;Meerlust Cabernet Sauvignon 2012;Stellenbosch;South Africa;http://images.vivino.com/thumbs/rp84_N3FSpOQ1b0fd7Higw_375x500.jpg
10-15;http://localhost:3000/explore?countryCodes=za&page=10;wineries-warwick-wine-estate-wines-stellenbosch-trilogy-2012;Warwick Trilogy 2012;Stellenbosch;South Africa;http://images.vivino.com/thumbs/4j6pHbLuRs-J9xnHA_NERA_375x500.jpg
10-16;http://localhost:3000/explore?countryCodes=za&page=10;wineries-flagstone-wines-writers-block-pinotage-2013;Flagstone Pinotage Writer's Block 2013;Western Cape;South Africa;http://images.vivino.com/thumbs/T0JLdqcfR0yCW8xzE2fy6w_375x500.jpg
10-17;http://localhost:3000/explore?countryCodes=za&page=10;wineries-ataraxia-wines-kevin-grant-chardonnay-2014;Ataraxia Chardonnay 2014;Hemel-en-Aarde Valley;South Africa;http://images.vivino.com/thumbs/6r2lQNqsTeeT0s32QbJTYg_375x500.jpg
10-18;http://localhost:3000/explore?countryCodes=za&page=10;wineries-tokara-wines-reserve-collection-chardonnay-2012;Tokara Chardonnay Reserve Collection 2012;Stellenbosch;South Africa;http://images.vivino.com/thumbs/BhzxOeV_RKK_Sw0eXjLa5g_375x500.jpg
10-19;http://localhost:3000/explore?countryCodes=za&page=10;wineries-groot-constantia-wines-gouverneurs-reserve-2013;Groot Constantia Gouverneurs Reserve Red 2013;Constantia;South Africa;http://images.vivino.com/thumbs/U31PMlFFQcCm_fc6QpZNhw_375x500.jpg
10-20;http://localhost:3000/explore?countryCodes=za&page=10;wineries-rupert-and-rothschild-vignerons-wines-baron-edmond-2013;Rupert & Rothschild Baron Edmond 2013;Paarl;South Africa;http://images.vivino.com/thumbs/iK1HcBX3QuqwEbRi1axQdw_375x500.jpg
10-21;http://localhost:3000/explore?countryCodes=za&page=10;wineries-za-beaumont-wines-hope-marguerite-2014;Beaumont Hope Marguerite 2014;Walker Bay;South Africa;http://images.vivino.com/thumbs/akaxLe1kQH6vt3lRtzEedQ_375x500.jpg
10-22;http://localhost:3000/explore?countryCodes=za&page=10;wineries-lothian-wines-vineyards-semper-pinot-noir-2012;Lothian Vineyards Vineyard Selection Pinot Noir 2012;Elgin;South Africa;http://images.vivino.com/thumbs/01s9ujelz2s4a_375x500.jpg
10-23;http://localhost:3000/explore?countryCodes=za&page=10;wineries-flagstone-wines-musci-room-2013;Flagstone Music Room 2013;Western Cape;South Africa;http://images.vivino.com/thumbs/Akye5kxaSRmWhodXreQYhg_375x500.jpg
10-24;http://localhost:3000/explore?countryCodes=za&page=10;wineries-jordan-wines-stellenbosch-cobblers-hill-2012;Jordan - Jardin Cobblers Hill 2012;Stellenbosch;South Africa;http://images.vivino.com/thumbs/Oy5rIHEDTDCLDdzVTdVcOA_375x500.jpg
8-0;http://localhost:3000/explore?countryCodes=za&page=8;wineries-delheim-wines-vera-cruz-pinotage-2013;Delheim Vera Cruz Pinotage 2013;Stellenbosch;South Africa;http://images.vivino.com/thumbs/UaoRrylHS821UBduHt5KHQ_375x500.jpg
8-2;http://localhost:3000/explore?countryCodes=za&page=8;wineries-warwick-wine-estate-wines-white-lady-chardonnay-2015;Warwick White Lady 2015;Stellenbosch;South Africa;http://images.vivino.com/thumbs/vwhoYHaxSVaVuHB7X78O2w_375x500.jpg
8-1;http://localhost:3000/explore?countryCodes=za&page=8;wineries-vergelegen-wine-estate-wines-south-africa-reserva-chardonnay-2013;Vergelegen Chardonnay Reserve 2013;Stellenbosch;South Africa;http://images.vivino.com/thumbs/czBmsYAzRJ-gPcJaGRyuvQ_375x500.jpg
8-3;http://localhost:3000/explore?countryCodes=za&page=8;wineries-strandveld-wines-adamastor-elim-sauvignon-blanc-smillon-2012;Strandveld Vineyards Adamastor Blanc 2012;Cape Agulhas;South Africa;http://images.vivino.com/thumbs/MejBpfTETpG-UOYKbeWJjw_375x500.jpg
8-4;http://localhost:3000/explore?countryCodes=za&page=8;wineries-chamonix-wines-troika-2011;Chamonix Troika Reserve 2011;Franschhoek Valley;South Africa;http://images.vivino.com/thumbs/01f6fdsn1xc6g_375x500.jpg
8-5;http://localhost:3000/explore?countryCodes=za&page=8;wineries-de-trafford-wines-stellenbosch-blueprint-syrah-2011;De Trafford Syrah Blueprint 2011;Stellenbosch;South Africa;http://images.vivino.com/thumbs/zDnePmEtQ9q3A_vpWb2XNQ_375x500.jpg
